epoch,accuracy,loss,val_accuracy,val_loss
0,0.5188889,1.3388445585745352,0.7058189511299133,2.11076021194458
1,0.6062963,1.1087766770963317,0.7167567610740662,2.601633071899414
2,0.63222224,1.0191224903530545,0.7145946025848389,1.4962321519851685
3,0.6485185,0.9834733728126244,0.6951351165771484,1.2295581102371216
4,0.66,0.9481543218647992,0.7243243455886841,0.7330228090286255
5,0.6559259,0.9291944590321294,0.6745945811271667,1.2320042848587036
6,0.6662963,0.8920178667704264,0.7091891765594482,0.7179132699966431
7,0.6811111,0.8781004524230958,0.6702702641487122,0.5332671403884888
8,0.68666667,0.8539747903965138,0.6972972750663757,0.3154435157775879
9,0.6844444,0.8492701616993656,0.685405433177948,2.135277271270752
10,0.69,0.8595492841579296,0.7178378105163574,1.3996976613998413
11,0.6951852,0.8287327222470884,0.7037838101387024,1.5622856616973877
12,0.6962963,0.8059642622205946,0.7264865040779114,1.7543165683746338
13,0.69222224,0.8196907398435804,0.6897297501564026,2.227944850921631
14,0.70444447,0.8087842209250838,0.7254053950309753,0.17821674048900604
15,0.7,0.8012832609812418,0.6529729962348938,1.7702438831329346
16,0.70555556,0.8060859907997979,0.676756739616394,2.5130879878997803
17,0.717037,0.7751302587544476,0.6724324226379395,1.3769657611846924
18,0.71338755,0.7829511610008556,0.7005405426025391,2.1599106788635254
19,0.7162463,0.7725778444053865,0.7091891765594482,1.2163240909576416
20,0.727071,0.7412485021811265,0.7221621870994568,0.9357618689537048
21,0.71513355,0.7736621321308861,0.7091891765594482,2.4937973022460938
22,0.7318519,0.7466434263300012,0.723243236541748,0.5606657266616821
23,0.7300296,0.7360065038034902,0.7059459686279297,0.7588590383529663
24,0.72814816,0.7476807713508606,0.7221621870994568,1.7996344566345215
25,0.727003,0.7407273498946906,0.6832432150840759,2.0185959339141846
26,0.7318519,0.7347276984320746,0.6929729580879211,1.2410695552825928
27,0.7374074,0.7384841730859545,0.6983783841133118,1.1007764339447021
28,0.7411111,0.7104158862431844,0.7113513350486755,1.2564191818237305
29,0.7185651,0.715063219416071,0.7221621870994568,0.873435378074646
30,0.731454,0.7147038586504028,0.753513514995575,0.9678769111633301
31,0.7488889,0.7049922886601201,0.6821621656417847,0.8572386503219604
32,0.7414815,0.703553048548875,0.7221621870994568,0.944037914276123
33,0.7307407,0.697264602360902,0.7156756520271301,2.404449462890625
34,0.74333334,0.6917295015299761,0.708108127117157,0.8125832676887512
35,0.73814815,0.6899533082820751,0.7156756520271301,2.967587471008301
36,0.7359468,0.7083459824499999,0.6875675916671753,1.7921812534332275
37,0.7366469,0.7057297307588933,0.7005405426025391,2.4549570083618164
38,0.7463018,0.6629047933414843,0.6962162256240845,1.1693894863128662
39,0.73813057,0.6943548665732941,0.7048648595809937,0.7700247168540955
40,0.7551775,0.6605052230273478,0.7113513350486755,2.652318239212036
41,0.7448071,0.6730321622743805,0.6929729580879211,1.8500456809997559
42,0.75296295,0.6730866164631314,0.7275675535202026,2.2266793251037598
43,0.7511111,0.6891348093085818,0.7178378105163574,0.11671814322471619
44,0.75592595,0.6514901924133301,0.6800000071525574,0.6386854648590088
45,0.75333333,0.67313563797209,0.6724324226379395,0.46509695053100586
46,0.75,0.6722557217986496,0.6713513731956482,0.8738415241241455
47,0.7592593,0.662573286515695,0.7037838101387024,1.4146959781646729
48,0.75,0.6764824774530199,0.7059459686279297,0.7631105780601501
49,0.75258875,0.6648911445803897,0.684324324131012,2.3229331970214844
